week,district_id,sis,pipeline_name,system_type,refresh_status,latency_minutes,record_completeness
2026-W04,DST001,PowerSchool,SIS roster sync,Student information system,success,20.4,0.959
2026-W04,DST001,PowerSchool,Assessment feed,Formative assessment platform,success,27.4,0.963
2026-W04,DST001,PowerSchool,Attendance extract,Student information system,success,58.6,0.964
2026-W04,DST001,PowerSchool,Assignment events,Instructional content platform,success,40.1,0.984
2026-W04,DST001,PowerSchool,Intervention roster,Intervention tracking system,success,20.3,0.97
2026-W05,DST001,PowerSchool,SIS roster sync,Student information system,success,48.4,0.955
2026-W05,DST001,PowerSchool,Assessment feed,Formative assessment platform,success,40.8,0.983
2026-W05,DST001,PowerSchool,Attendance extract,Student information system,success,67.8,0.959
2026-W05,DST001,PowerSchool,Assignment events,Instructional content platform,success,25.1,0.978
2026-W05,DST001,PowerSchool,Intervention roster,Intervention tracking system,success,77.3,0.973
2026-W06,DST001,PowerSchool,SIS roster sync,Student information system,success,78.1,1.0
2026-W06,DST001,PowerSchool,Assessment feed,Formative assessment platform,success,63.3,0.988
2026-W06,DST001,PowerSchool,Attendance extract,Student information system,success,25.7,1.0
2026-W06,DST001,PowerSchool,Assignment events,Instructional content platform,success,43.9,0.965
2026-W06,DST001,PowerSchool,Intervention roster,Intervention tracking system,success,22.5,0.961
2026-W07,DST001,PowerSchool,SIS roster sync,Student information system,success,36.1,0.995
2026-W07,DST001,PowerSchool,Assessment feed,Formative assessment platform,success,40.2,0.943
2026-W07,DST001,PowerSchool,Attendance extract,Student information system,success,19.3,0.981
2026-W07,DST001,PowerSchool,Assignment events,Instructional content platform,success,43.5,0.993
2026-W07,DST001,PowerSchool,Intervention roster,Intervention tracking system,success,69.4,1.0
2026-W08,DST001,PowerSchool,SIS roster sync,Student information system,success,24.7,0.974
2026-W08,DST001,PowerSchool,Assessment feed,Formative assessment platform,success,35.3,1.0
2026-W08,DST001,PowerSchool,Attendance extract,Student information system,success,45.5,0.98
2026-W08,DST001,PowerSchool,Assignment events,Instructional content platform,late,91.7,0.976
2026-W08,DST001,PowerSchool,Intervention roster,Intervention tracking system,success,58.7,1.0
2026-W09,DST001,PowerSchool,SIS roster sync,Student information system,success,70.9,0.971
2026-W09,DST001,PowerSchool,Assessment feed,Formative assessment platform,success,11.3,0.992
2026-W09,DST001,PowerSchool,Attendance extract,Student information system,success,33.5,0.976
2026-W09,DST001,PowerSchool,Assignment events,Instructional content platform,success,36.0,0.977
2026-W09,DST001,PowerSchool,Intervention roster,Intervention tracking system,success,67.7,0.992
2026-W10,DST001,PowerSchool,SIS roster sync,Student information system,success,8,0.982
2026-W10,DST001,PowerSchool,Assessment feed,Formative assessment platform,success,56.9,0.972
2026-W10,DST001,PowerSchool,Attendance extract,Student information system,success,21.1,1.0
2026-W10,DST001,PowerSchool,Assignment events,Instructional content platform,success,39.2,0.983
2026-W10,DST001,PowerSchool,Intervention roster,Intervention tracking system,success,25.6,0.976
2026-W11,DST001,PowerSchool,SIS roster sync,Student information system,success,50.1,0.991
2026-W11,DST001,PowerSchool,Assessment feed,Formative assessment platform,success,32.6,0.979
2026-W11,DST001,PowerSchool,Attendance extract,Student information system,success,40.9,0.977
2026-W11,DST001,PowerSchool,Assignment events,Instructional content platform,success,32.8,0.958
